tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name,clean tweets,clean tweet length
@m7med_18_18 يمكنك تفقد الرابط التآلي لإيجاد المنتج الذي ترغب به: https://t.co/d6ObZlic0Y، علمًا بأن عروضنا مميزة ومتجددة كل فترة، شكرًا لك.,1,1236676948744646659,2020-03-08 15:35:35,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, يمكنك تفقد الرابط التالي لايجاد المنتج الذي ترغب به علمًا بان عروضنا ميزه ومتجده كل فتره شكرًا لك,98
@m7med_18_18 مرحبًا بك، عفواً، لا يتوفر أكواد خصم بالوقت الحالي ولكن يمكنك الاستمتاع بالعروض المتوفرة حالياً على موقعنا. شكرًا لك.,1,1236675865423097856,2020-03-08 15:31:17,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحبًا بك عفواً لا يتوفر اكواد خصم بالوقت الحالي ولكن يمكنك الاستمتاع بالعروض المتوفره حالياً علي موقعنا شكرًا لك,114
@Aldosi77 مرحباً بك، نرجو منك التواصل معنا عبر الخاص إذا واجهتك أي مشكلة لنتمكن من مساعدتك بشكل أفضل، شكراً لك.,1,1236674438692769794,2020-03-08 15:25:37,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك نرجو منك التواصل معنا عبر الخاص اذا واجهتك اي مشكله لنتمكن من مساعدتك بشكل افضل شكراً لك,99
@nadosah__ مرحباً بك، نود التوضيح أنه إذا كانت قيمة الطلب أكثر من ٢٠٠ ريال لا تطبق رسوم شحن، أما إذا كانت قيمة الطلب أقل من ٢٠٠ ريال تطبق رسوم شحن قيمتها ١٢ ريال في السعودية، شكراً لك.,1,1236674312607858691,2020-03-08 15:25:07,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك نود التوضيح انه اذا كانت قيمه الطلب اكثر من ٢٠ ريال لا تطبق رسوم شحن اما اذا كانت قيمه الطلب اقل من ٢٠ ريال تطبق رسوم شحن قيمتها ١٢ ريال في السعوديه شكراً لك,168
@HfueYjbsFhdQ13f نعتذر منك مرة أخرى و سيتم محاولة التواصل معكم مجدداً للإرجاع في أقرب وقت ممكن.,1,1236672265783250944,2020-03-08 15:16:59,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نعتذر منك مره اخري و سيتم محاوله التواصل معكم مجداً لارجاع في اقرب وقت مكن,75
@sEWsOWsVCdpiSCH مرحباً، يؤسفنا سماع ذلك، ونعتذر لك بكل تأكيد، ونرجو منك التواصل معنا عبر الخاص https://t.co/hkmzQWoBmz لنتمكن من مساعدتك بشكل ألإضل، شكراً لك.,1,1236671996429246464,2020-03-08 15:15:54,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً يؤسفنا سماع ذلك ونعتذر لك بكل تاكيد ونرجو منك التواصل معنا عبر الخاص لنتمكن من مساعدتك بشكل الاضل شكراً لك,114
@HfueYjbsFhdQ13f مرحباً بك، نعتذر منك إذا واجهتك أي مشكلة، ونود التوضيح بأننا قمنا برفع الأمر للفريق المعني وسيتم التواصل معك خلال ٤ إلى ٦ ساعات عمل، علماً بأن ساعات العمل من الساعة التاسعة صباحاً حتى الساعة التاسعة مساءً بتوقيت الإمارات، شكراً لك.,1,1236670776159412226,2020-03-08 15:11:03,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك نعتذر منك اذا واجهتك اي مشكله ونود التوضيح بانا قمنا برفع الامر لفريق المعني وسيتم التواصل معك خلال ٤ الي ٦ ساعات عمل علماً بان ساعات العمل من الساعه التاسعه صباحاً حتي الساعه التاسعه مساءً بتوقيت الامارات شكراً لك,225
@Sama__2030 مرحباً بك،  نعتذر عن الذي حدث ونرجو منك التواصل معنا بتفاصيل طلبك عبر الخاص وسنكون أكثر من سعداء لتقديم المساعدة. شكراً لك.,1,1236669294743871488,2020-03-08 15:05:10,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحباً بك نعتذر عن الذي حدث ونرجو منك التواصل معنا بتفاصيل طلبك عبر الخاص وسنكون اكثر من سعداء لتقديم المساعده شكراً لك,120
@RumblingsFromMe نتفهم سبب إستيائك، ونود التوضيح بأنه سيتم التواصل معك في أقرب وقت ممكن، شكرًا لك.,1,1236669249353068549,2020-03-08 15:04:59,Other,1,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, نتفهم سب استيائك ونود التوضيح بانه سيتم التواصل معك في اقرب وقت مكن شكرًا لك,77
@mosferali مرحبًا بك، كما نرى لقد تم التواصل معك من قبل الفريق المعني لمتابعة الأمر ونأكد لك بأنه سيتم معالجته بأفضل شكل. شاكرين تفهمك.,1,1236669082998583297,2020-03-08 15:04:20,Other,0,0,Saudi Arabia,noon_cares,نون لخدمة العملاء, مرحبًا بك كما نري لقد تم التواصل معك من قبل الفريق المعني لمتابعه الامر وناكد لك بانه سيتم معالجته بافضل شكل شاكرين تفهمك,122
